pair,task,family,win,ratio,coverage_tau,scale,n,score_mean,acc_tau0.5,avg_budget
pair7,musique,fixed_rekv,8,0.3,,,500,0.288,0.288,0.3
pair7,musique,fixed_rekv,8,0.5,,,500,0.338,0.338,0.5
pair7,musique,fixed_rekv,8,0.7,,,500,0.358,0.358,0.7
pair7,musique,fixed_rekv,16,0.3,,,500,0.298,0.298,0.3
pair7,musique,fixed_rekv,16,0.5,,,500,0.318,0.318,0.5
pair7,musique,fixed_rekv,16,0.7,,,500,0.352,0.352,0.7
pair7,musique,brekv,8,,0.9,0.65,500,0.248,0.248,0.16850733199999998
pair7,musique,brekv,16,,0.9,0.65,500,0.254,0.254,0.209178956
pair7,musique,brekv,8,,0.9,0.75,500,0.27,0.27,0.18767667
pair7,musique,brekv,16,,0.9,0.75,500,0.26,0.26,0.235275148
pair7,musique,brekv,8,,0.9,0.85,500,0.294,0.294,0.207094952
pair7,musique,brekv,16,,0.9,0.85,500,0.264,0.264,0.26146371799999996
pair7,musique,brekv,8,,0.95,0.65,500,0.294,0.294,0.257993388
pair7,musique,brekv,16,,0.95,0.65,500,0.278,0.278,0.309420118
pair7,musique,brekv,8,,0.95,0.75,500,0.3,0.3,0.292020978
pair7,musique,brekv,16,,0.95,0.75,500,0.266,0.266,0.351482408
pair7,musique,brekv,8,,0.95,0.85,500,0.308,0.308,0.325507412
pair7,musique,brekv,16,,0.95,0.85,500,0.286,0.286,0.39264957399999995
pair7,musique,brekv,16,,0.95,0.9,500,0.3,0.3,0.41213762600000003
pair7,musique,brekv,8,,0.98,0.65,500,0.3,0.3,0.38309062
pair7,musique,brekv,16,,0.98,0.65,500,0.316,0.316,0.42993981800000003
pair7,musique,brekv,8,,0.98,0.75,500,0.322,0.322,0.436490156
pair7,musique,brekv,16,,0.98,0.75,500,0.326,0.326,0.49053250400000004
pair7,musique,brekv,8,,0.98,0.85,500,0.324,0.324,0.484920908
pair7,musique,brekv,16,,0.98,0.85,500,0.33,0.33,0.545281036
